Date start:01/01/2019;Date stop:30/06/2019
Data;Marsica I.L1.CM1.Status.WTG Event;Marsica I.L1.R1.Status.WTG Event;Marsica I.L1.R2.Status.WTG Event;Marsica I.L1.R3.Status.WTG Event;
2019/01/01 00:00:47;null;null;null;null;
2019/01/01 00:01:01;0;0;0;0;
2019/01/01 01:52:59;;;;891;
2019/01/01 02:04:23;891;;;;
2019/01/01 02:23:10;;;;0;
2019/01/01 02:34:19;0;;;;
2019/01/01 04:29:00;;;891;;
2019/01/01 04:59:41;;;0;;
2019/01/01 05:07:48;;;;186;
2019/01/01 05:07:53;;;;338;
2019/01/01 05:21:48;;;;223;
2019/01/01 05:31:05;;;;309;
2019/01/01 05:36:52;;;;224;
2019/01/01 05:37:32;;;;0;
2019/01/01 06:07:37;;;;356;
2019/01/01 06:08:33;;;;0;
2019/01/01 06:14:25;;;154;;
2019/01/01 06:22:23;;;223;;
2019/01/01 06:23:38;;;309;;
2019/01/01 06:27:04;;;224;;
2019/01/01 06:27:14;;;0;;
2019/01/01 10:11:34;144;;;;
2019/01/01 10:35:28;224;;;;
2019/01/01 10:35:33;0;;;;
2019/01/01 16:14:23;;;275;;
2019/01/01 16:42:19;;;224;;
2019/01/01 21:15:19;;;0;;
2019/01/02 00:00:47;null;null;null;null;
2019/01/02 00:01:07;0;0;0;0;
2019/01/02 15:45:29;;;891;;
2019/01/02 16:00:59;;891;;;
2019/01/02 16:02:46;;891;;;
2019/01/02 16:08:02;;0;;;
2019/01/02 16:09:17;;;224;;
2019/01/02 16:09:43;;;0;;
2019/01/02 16:11:14;;;0;;
2019/01/02 21:08:04;;;;186;
2019/01/02 21:26:16;;;;223;
2019/01/02 21:26:29;;;;223;
2019/01/02 21:30:31;;;;309;
2019/01/02 21:38:15;;;;224;
2019/01/02 21:38:20;;;;0;
2019/01/02 21:42:21;;;;186;
2019/01/02 22:01:13;;;;223;
2019/01/02 22:01:55;;;;223;
2019/01/02 22:03:19;;;;309;
2019/01/02 22:03:34;;;;891;
2019/01/02 22:03:44;;;;186;
2019/01/02 22:04:14;;;;891;
2019/01/02 22:04:29;;;;223;
2019/01/02 22:04:54;;;;309;
2019/01/02 22:06:10;;;;224;
2019/01/02 22:06:20;;;;0;
2019/01/02 22:06:54;;;;0;
2019/01/02 22:08:01;;;;186;
2019/01/02 22:09:26;;;;223;
2019/01/02 22:09:47;;;;309;
2019/01/02 22:10:12;;;;186;
2019/01/02 22:11:07;;;;223;
2019/01/02 22:11:52;;;;309;
2019/01/02 22:12:18;;891;;;
2019/01/02 22:12:54;;;;309;
2019/01/02 22:12:54;;891;;;
2019/01/02 22:13:13;;;;224;
2019/01/02 22:13:38;;224;;;
2019/01/02 22:13:53;;0;;;
2019/01/02 22:14:13;;;;0;
2019/01/02 22:14:49;;892;;;
2019/01/02 22:15:34;;891;;;
2019/01/02 22:15:44;;224;;;
2019/01/02 22:16:04;;;;356;
2019/01/02 22:17:04;;0;;;
2019/01/02 22:18:15;;;;891;
2019/01/02 22:18:20;;;;224;
2019/01/02 22:21:11;;891;;;
2019/01/02 22:24:17;;0;;;
2019/01/02 22:24:52;;318;;;
2019/01/02 22:25:22;;;;144;
2019/01/02 22:25:52;;0;;;
2019/01/02 22:32:45;;;;183;
2019/01/02 22:33:36;;891;;;
2019/01/02 22:37:32;;;891;;
2019/01/02 22:47:41;144;;;;
2019/01/02 23:01:01;;0;;;
2019/01/02 23:01:26;;;0;;
2019/01/02 23:01:52;;;892;;
2019/01/02 23:01:57;;;;223;
2019/01/02 23:02:27;;;;144;
2019/01/02 23:02:36;;0;;;
2019/01/02 23:02:37;;;891;;
2019/01/02 23:02:37;;;892;;
2019/01/02 23:02:38;;;;144;
2019/01/02 23:02:47;;;224;;
2019/01/02 23:05:08;;;0;;
2019/01/02 23:17:27;;;;180;
2019/01/02 23:18:53;0;;;;
2019/01/02 23:25:21;;;;223;
2019/01/02 23:25:36;;;;309;
2019/01/02 23:29:47;;;;224;
2019/01/02 23:42:12;;;;186;
2019/01/02 23:52:10;;;891;;
2019/01/02 23:53:11;;;0;;
2019/01/02 23:53:51;;;891;;
2019/01/02 23:55:12;;;0;;
2019/01/03 00:00:37;null;null;null;null;
2019/01/03 00:00:51;0;0;0;186;
2019/01/03 01:51:00;891;;;;
2019/01/03 01:54:02;0;;;;
2019/01/03 03:45:04;;;;223;
2019/01/03 03:45:24;;;;309;
2019/01/03 03:46:44;;;;223;
2019/01/03 03:47:15;;;;309;
2019/01/03 03:49:05;;;;223;
2019/01/03 03:50:10;;;;893;
2019/01/03 04:05:11;;;;180;
2019/01/03 07:47:08;;;;900;
2019/01/03 07:49:29;;;;220;
2019/01/03 07:51:40;;;;null;
2019/01/03 09:49:35;;;892;;
2019/01/03 10:09:47;;;891;;
2019/01/03 10:10:48;;;224;;
2019/01/03 13:46:05;;;309;;
2019/01/03 13:46:20;;;224;;
2019/01/03 13:46:25;;;0;;
2019/01/03 17:17:36;891;;;;
2019/01/03 17:23:48;;;891;;
2019/01/03 17:37:54;;892;;;
2019/01/03 18:02:13;;;0;;
2019/01/03 18:02:43;224;;;;
2019/01/03 18:02:58;0;;;;
2019/01/03 18:03:33;892;;;;
2019/01/03 19:18:35;;224;;;
2019/01/03 19:37:01;144;;;;
2019/01/03 19:39:12;;;891;;
2019/01/03 19:46:35;;891;;;
2019/01/03 21:25:23;;;0;;
2019/01/03 21:33:52;;224;;;
2019/01/03 22:32:39;224;;;;
2019/01/03 22:32:59;893;;;;
2019/01/03 22:39:32;;893;;;
2019/01/03 22:46:54;0;;;;
2019/01/03 22:50:31;;224;;;
