ECName;WTGEvent;type;description;isDowntime;isFault;Cause;Nature;resetType;alarmLevel;notes;changed
V80VestasErrorCode;572;No error;[572] - Close Gridbreaker 2;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;719;No error;[719] - Close Gridbreaker 3;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;674;No error;[674] - Commence motorstart Gen;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;672;No error;[672] - Commence thyristor test Gen;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;668;No error;[668] - Commencing thyristor-in;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;669;No error;[669] - Commencing thyristor-out;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;267;No error;[267] - ComSystemState reset by user;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;607;No error;[607] - Control of LT blocked;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;997;Grid;[997] - Curtailed;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;996;Grid;[996] - Curtailed 1;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;374;No error;[374] - De-ice event: Ice climate;0;0;ENV;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;371;No error;[371] - De-ice event: Ice detected;0;0;ENV;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;372;No error;[372] - De-ice event: Mass unbalance;0;0;ENV;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;373;No error;[373] - De-ice event: Power loss;0;0;ENV;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;370;No error;[370] - De-ice event: System OFF;0;0;ENV;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;369;No error;[369] - De-ice event: System ON;0;0;ENV;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;728;No error;[728] - Dip detec, V;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;245;No error;[245] - Hot HV trafo;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;439;No error;[439] - Hot IGBTs;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;438;No error;[438] - Hot top ctrl;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;440;No error;[440] - Hot VRCC water;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;66;No error;[66] - Hub fan;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;882;No error;[882] - Hub heating;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;68;No error;[68] - HV Trafo vent,;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;3232;Turbine;[3232] - HighPressPump2ThermoInvalid;0;0;DEV_UN;Other;Local;0;;-1
V80VestasErrorCode;3035;Turbine;[3035] - HubArcNetRec1LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3036;Turbine;[3036] - HubArcNetRec2LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3037;Turbine;[3037] - HubArcNetRec3LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3038;Turbine;[3038] - HubArcNetRec4LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3039;Turbine;[3039] - HubArcNetRec5LightErr;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3021;Turbine;[3021] - HubControllerProcessorBattLaw;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3012;Turbine;[3012] - HydrHighPressPump1NegFBError;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3013;Turbine;[3013] - HydrHighPressPump1PosFBError;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3014;Turbine;[3014] - HydrHighPressPump2NegFBError;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;650;Turbine;[650] - No satelites tracked;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;651;Turbine;[651] - One satelite tracked;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;969;No error;[969] - OptiStop Int Battery Fault;0;0;OTH;Other;Auto short;0;;-1
V80VestasErrorCode;2892;Turbine;[2892] - PB OilDiffHigh Main A;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2893;Turbine;[2893] - PB OilDiffHigh Main B;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2894;Turbine;[2894] - PB OilDiffHigh Main C;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2902;Turbine;[2902] - PitA Not lock C;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2887;Turbine;[2887] - PitA Sys;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2896;Turbine;[2896] - PitA: PFB;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2903;Turbine;[2903] - PitB Not lock;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2888;Turbine;[2888] - PitB Sys;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2904;Turbine;[2904] - PitC Not lock;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2889;Turbine;[2889] - PitC Sys;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2898;Turbine;[2898] - PitC: PFB;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2905;Turbine;[2905] - Pitch A BL unlock Warning;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2899;Turbine;[2899] - Pitch A: PFB indi open;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;905;Turbine;[905] - Pitch accu fail;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2906;Turbine;[2906] - Pitch B BL unlock Warning;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2900;Turbine;[2900] - Pitch B: PFB indi open;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2907;Turbine;[2907] - Pitch C BL unlock Warning;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2901;Turbine;[2901] - Pitch C: PFB indi open;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;994;No error;[994] - Pitch error on all blades;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;3235;Turbine;[3235] - PitchAccTestSysAccFail;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3237;Turbine;[3237] - PitchManifAAccFailed;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3238;Turbine;[3238] - PitchManifADrainVlvFail;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3239;Turbine;[3239] - PitchManifBAccFailed;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3240;No error;[3240] - PitchManifBDrainVlvFail;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3241;Turbine;[3241] - PitchManifCAccFailed;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3242;Turbine;[3242] - PitchManifCDrainVlvFail;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;3236;Turbine;[3236] - PitchSystDrainValveFail;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2912;Turbine;[2912] - PosFB: SupplyContHydrMotor;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2918;Turbine;[2918] - PosFB: SupplyContOtherMot;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;2915;Turbine;[2915] - PosFB: SupplyContYawMotor;0;0;OTH;Other;Remote;0;;-1
V80VestasErrorCode;877;No error;[877] - Power drop;0;0;OTH;Other;Not to be acknowledged;0;;-1
V80VestasErrorCode;3059;Turbine;[3059] - PowerStop1Error;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;3060;Turbine;[3060] - PowerStop2Error;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;3061;Turbine;[3061] - PowerStop3Error;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;3062;Turbine;[3062] - PowerStop4Error;0;0;OTH;Other;Local;0;;-1
V80VestasErrorCode;2862;Turbine;[2862] - PreSensorErr;0;0;OTH;Other;Local;0;;-1
