Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2018/06/22 14:58:09;null;;;;;;;;;;;;;;
2018/06/22 14:58:10;;null;null;;;;;;;;;;;;
2018/06/22 14:58:10;;;;null;;;;;;;;;;;
2018/06/22 14:58:10;;;;;null;;;;;;;;;;
2018/06/22 14:58:11;;;;;;null;;;;;;;;;
2018/06/22 14:58:13;;;;;;;null;;;;;;;;
2018/06/22 14:58:13;;;;;;;;null;;;;;;;
2018/06/22 14:58:13;;;;;;;;;null;;;;;;
2018/06/22 14:58:15;;;;;;;;;;;;;;null;
2018/06/22 15:01:49;;;;;0;0;;;;;;;;;
2018/06/22 15:01:49;;;;;;;;;;;;;;0;
2018/06/22 15:01:49;;;;;;;;;0;;;;;;
2018/06/22 15:01:49;0;0;;;;;0;0;;;;;;;
2018/06/22 15:01:49;;;0;0;;;;;;;;;;;
2018/06/22 15:26:10;;;;;0;0;;;;;;;;;
2018/06/22 15:26:10;;;;;;;;;;;;;;0;
2018/06/22 15:26:15;;;;;;;;;0;;;;;;
2018/06/22 15:26:15;0;;;;;;;;;;;;;;
2018/06/22 15:26:16;;0;;;;;0;0;;;;;;;
2018/06/22 15:26:36;;;0;0;;;;;;;;;;;
2018/06/22 21:32:53;;;;;;275;;;;;;;;;
2018/06/22 22:00:13;;;;;;224;;;;;;;;;
2018/06/22 22:01:13;;;;;;0;;;;;;;;;
2018/06/23 00:00:11;;;null;null;null;null;;;null;;;;;null;
2018/06/23 00:00:16;null;null;;;;;null;null;;;;;;;
2018/06/23 00:00:23;;;;;0;0;;;;;;;;;
2018/06/23 00:00:23;;;;;;;;;;;;;;0;
2018/06/23 00:00:23;;0;;;;;0;0;;;;;;;
2018/06/23 00:00:23;;;0;0;;;;;;;;;;;
2018/06/23 00:00:23;;;;;;;;;0;;;;;;
2018/06/23 00:00:28;0;;;;;;;;;;;;;;
2018/06/24 00:00:10;null;null;null;null;null;null;null;null;null;;;;;null;
2018/06/24 00:00:22;;;;;0;0;;;;;;;;;
2018/06/24 00:00:22;;;;;;;;;0;;;;;0;
2018/06/24 00:00:22;;0;0;0;;;0;0;;;;;;;
2018/06/24 00:00:28;0;;;;;;;;;;;;;;
2018/06/24 02:54:53;null;;;;;;;;;;;;;;
2018/06/24 02:55:23;0;;;;;;;;;;;;;;
2018/06/24 02:56:13;null;;;;;;;;;;;;;;
2018/06/24 02:56:33;0;;;;;;;;;;;;;;
2018/06/24 02:57:33;null;;;;;;;;;;;;;;
2018/06/24 02:57:53;0;;;;;;;;;;;;;;
2018/06/24 06:30:03;null;;;;;;;;;;;;;;
2018/06/24 06:30:18;0;;;;;;;;;;;;;;
2018/06/25 10:22:02;;;;;0;0;;;;;;;;;
2018/06/25 10:22:03;0;0;;;;;0;0;;;;;;;
2018/06/25 10:22:03;;;0;0;;;;;;;;;;;
2018/06/25 10:22:06;;;;;;;;;;;;;;0;
2018/06/25 10:22:10;;;;;;;;;0;;;;;;
2018/06/26 00:00:12;null;null;null;null;null;null;null;null;null;;;;;null;
2018/06/26 00:00:24;;;;;0;0;;;;;;;;;
2018/06/26 00:00:24;;0;0;0;;;0;0;;;;;;;
2018/06/26 00:00:29;0;;;;;;;;;;;;;;
2018/06/26 00:00:29;;;;;;;;;0;;;;;;
2018/06/26 00:00:30;;;;;;;;;;;;;;0;
2018/06/26 11:04:13;null;;;;;;;;;;;;;;
2018/06/26 11:04:13;;null;;;;;;;;;;;;;
2018/06/26 11:04:13;;;null;;;;;;;;;;;;
2018/06/26 11:04:14;;;;null;;;;;;;;;;;
2018/06/26 11:04:15;;;;;null;;;;;;;;;;
2018/06/26 11:04:15;;;;;;null;;;;;;;;;
2018/06/26 11:04:15;;;;;;;null;;;;;;;;
2018/06/26 11:04:18;;;;;;;;null;;;;;;;
2018/06/26 11:04:18;;;;;;;;;null;;;;;;
2018/06/26 11:04:20;;;;;;;;;;;;;;null;
2018/06/26 11:08:09;;0;;;;;0;0;;;;;;;
2018/06/26 11:08:12;;;;;0;0;;;;;;;;;
2018/06/26 11:08:12;;;;;;;;;0;;;;;;
2018/06/26 11:08:13;;;0;0;;;;;;;;;;;
