Date start:01/01/2019;Date stop:30/06/2019
Data;Pescina Wind.L1.WTG4.Status.WTG Event;Pescina Wind.L1.WTG5.Status.WTG Event;Pescina Wind.L1.WTG6.Status.WTG Event;Pescina Wind.L1.WTG8.Status.WTG Event;Pescina Wind.L2.WTG10.Status.WTG Event;Pescina Wind.L2.WTG11.Status.WTG Event;Pescina Wind.L2.WTG7.Status.WTG Event;Pescina Wind.L2.WTG9.Status.WTG Event;
2019/01/01 00:00:47;null;null;null;null;null;null;null;null;
2019/01/01 00:01:06;;;;;0;0;0;0;
2019/01/01 00:01:07;0;0;0;0;;;;;
2019/01/01 00:01:57;;;;356;;;;;
2019/01/01 00:02:57;;;;0;;;;;
2019/01/01 00:29:12;356;;;;;;;;
2019/01/01 00:29:17;338;;;;;;;;
2019/01/01 00:30:17;0;;;;;;;;
2019/01/01 00:33:03;;;;356;;;;;
2019/01/01 00:34:04;;;;84;;;;;
2019/01/01 00:34:14;;;;0;;;;;
2019/01/01 01:06:54;;;;;;356;;;
2019/01/01 01:07:54;;;;;;0;;;
2019/01/01 01:10:36;;;;356;;;;;
2019/01/01 01:11:36;;;;0;;;;;
2019/01/01 01:14:32;;;;153;;;;;
2019/01/01 01:15:37;;;;0;;;;;
2019/01/01 01:23:35;;356;;;;;;;
2019/01/01 01:24:35;;0;;;;;;;
2019/01/01 01:40:55;;356;;;;;;;
2019/01/01 01:41:55;;0;;;;;;;
2019/01/01 01:48:12;356;;;;;;;;
2019/01/01 01:49:13;0;;;;;;;;
2019/01/01 01:50:53;;356;;;;;;;
2019/01/01 01:51:53;;0;;;;;;;
2019/01/01 01:59:26;;;356;;;;;;
2019/01/01 02:00:27;;;0;;;;;;
2019/01/01 02:02:02;;338;;;;;;;
2019/01/01 02:03:02;;0;;;;;;;
2019/01/01 02:15:47;;;356;;;;;;
2019/01/01 02:16:47;;;0;;;;;;
2019/01/01 02:58:47;;;338;;;;;;
2019/01/01 02:59:52;;;0;;;;;;
2019/01/01 03:19:24;356;;;;;;;;
2019/01/01 03:20:24;0;;;;;;;;
2019/01/01 03:21:50;;356;;;;;;;
2019/01/01 03:22:50;;0;;;;;;;
2019/01/01 03:33:49;;;356;;;;;;
2019/01/01 03:34:54;;;0;;;;;;
2019/01/01 03:54:31;;356;;;;;;;
2019/01/01 03:55:31;;0;;;;;;;
2019/01/01 04:11:12;;356;;;;;;;
2019/01/01 04:12:12;;0;;;;;;;
2019/01/01 04:22:51;;;;356;;;;;
2019/01/01 04:23:51;;;;0;;;;;
2019/01/01 04:42:21;;356;;;;;;;
2019/01/01 04:43:17;;0;;;;;;;
2019/01/01 04:49:29;;;356;;;;;;
2019/01/01 04:50:34;;;0;;;;;;
2019/01/01 04:57:46;;;;356;;;;;
2019/01/01 04:58:47;;;;0;;;;;
2019/01/01 04:59:07;;;356;;;;;;
2019/01/01 05:00:02;;153;;;;;;;
2019/01/01 05:00:07;;;0;;;;;;
2019/01/01 05:01:02;;338;;;;;;;
2019/01/01 05:01:07;;0;;;;;;;
2019/01/01 05:01:42;;;;356;;;;;
2019/01/01 05:02:43;;;;100;;;;;
2019/01/01 05:10:25;;;356;;;;;;
2019/01/01 05:11:25;;;0;;;;;;
2019/01/01 05:19:08;356;;;;;;;;
2019/01/01 05:19:13;153;;;;;;;;
2019/01/01 05:20:13;0;;;;;;;;
2019/01/01 05:23:39;;356;;;;;;;
2019/01/01 05:24:39;;0;;;;;;;
2019/01/01 05:25:14;356;;;;;;;;
2019/01/01 05:26:15;191;;;;;;;;
2019/01/01 05:26:20;0;;;;;;;;
2019/01/01 05:30:26;;;;0;;;;;
2019/01/01 05:36:27;;356;;;;;;;
2019/01/01 05:37:23;;0;;;;;;;
2019/01/01 06:22:58;;;;356;;;;;
2019/01/01 06:23:59;;;;0;;;;;
2019/01/01 06:26:44;;;356;;;;;;
2019/01/01 06:27:24;;;0;;;;;;
2019/01/01 06:29:05;356;;;;;;;;
2019/01/01 06:29:45;0;;;;;;;;
2019/01/01 06:35:07;;;356;;;;;;
2019/01/01 06:36:07;;;84;;;;;;
2019/01/01 06:36:17;;;0;;;;;;
2019/01/01 07:10:40;;;;;;;356;;
2019/01/01 07:11:40;;;;;;;0;;
2019/01/01 07:18:22;;;;;;;;356;
2019/01/01 07:19:23;;;;;;;;0;
2019/01/01 07:26:14;338;;;;;;;;
2019/01/01 07:27:19;0;;;;;;;;
2019/01/01 07:27:24;;;356;;;;;;
2019/01/01 07:28:24;;;0;;;;;;
2019/01/01 07:39:49;;153;;;;;;;
2019/01/01 07:40:49;;0;;;;;;;
2019/01/01 07:47:56;;;356;;;;;;
2019/01/01 07:48:56;;;0;;;;;;
2019/01/01 08:01:36;;;;;;356;;;
2019/01/01 08:02:01;;;;;;;;356;
2019/01/01 08:02:21;;;;;;;356;;
2019/01/01 08:02:36;;;;;;0;;;
2019/01/01 08:03:01;;;;;;;;0;
2019/01/01 08:03:16;;;;;;;0;;
2019/01/01 08:17:56;;;153;;;;;;
2019/01/01 08:18:21;;356;;;;;;;
2019/01/01 08:19:02;;;0;;;;;;
2019/01/01 08:19:22;;0;;;;;;;
2019/01/01 08:21:38;;;356;;;;;;
2019/01/01 08:22:38;;;100;;;;;;
2019/01/01 08:49:22;;;;356;;;;;
2019/01/01 08:50:22;;;;0;;;;;
2019/01/01 09:01:52;;;0;;;;;;
2019/01/01 09:03:27;153;;;;;;;;
2019/01/01 09:04:28;0;;;;;;;;
2019/01/02 00:00:47;null;null;null;null;null;null;null;null;
2019/01/02 00:01:10;0;0;0;0;;;;;
2019/01/02 00:01:13;;;;;0;0;0;0;
2019/01/02 11:24:46;275;;;;;;;;
2019/01/02 11:51:56;0;;;;;;;;
2019/01/02 11:52:57;0;;;;;;;;
2019/01/02 20:43:02;356;;;;;;;;
2019/01/02 20:44:02;0;;;;;;;;
2019/01/02 21:11:06;;;;356;;;;;
