Date start:22/06/2018;Date stop:31/12/2018
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2018/06/22 14:58:21;null;null;;;;;
2018/06/22 14:58:21;;;null;;;;
2018/06/22 14:58:23;;;;null;;;
2018/06/22 14:58:23;;;;;null;;
2018/06/22 14:58:23;;;;;;null;
2018/06/22 15:01:49;0;0;0;;;;
2018/06/22 15:01:49;;;;0;0;0;
2018/06/22 15:26:10;0;0;0;;;;
2018/06/22 15:26:15;;;;0;0;;
2018/06/22 15:26:15;;;;;;0;
2018/06/23 00:00:11;null;null;null;null;null;null;
2018/06/23 00:00:28;0;0;0;;;;
2018/06/23 00:00:33;;;;0;0;0;
2018/06/23 05:28:33;312;;;;;;
2018/06/23 05:41:13;0;;;;;;
2018/06/23 05:46:23;312;;;;;;
2018/06/23 05:58:58;0;;;;;;
2018/06/23 06:03:53;312;;;;;;
2018/06/23 06:16:33;0;;;;;;
2018/06/23 06:21:23;312;;;;;;
2018/06/23 06:34:03;100;;;;;;
2018/06/23 07:17:58;0;;;;;;
2018/06/24 00:00:10;null;null;null;null;null;null;
2018/06/24 00:00:33;0;0;0;0;0;0;
2018/06/25 10:22:06;0;0;;;;;
2018/06/25 10:22:06;;;0;;;;
2018/06/25 10:22:06;;;;0;0;0;
2018/06/25 17:40:33;312;;;;;;
2018/06/25 17:53:14;0;;;;;;
2018/06/25 17:57:59;312;;;;;;
2018/06/25 18:01:39;0;;;;;;
2018/06/25 18:04:59;312;;;;;;
2018/06/25 18:17:39;0;;;;;;
2018/06/25 18:22:25;312;;;;;;
2018/06/25 18:35:19;0;;;;;;
2018/06/25 18:40:05;312;;;;;;
2018/06/25 18:52:46;100;;;;;;
2018/06/25 20:33:01;0;;;;;;
2018/06/26 00:00:12;null;null;null;null;null;null;
2018/06/26 00:00:34;0;0;0;;;;
2018/06/26 00:00:34;;;;0;0;0;
2018/06/26 07:26:20;;;;;null;;
2018/06/26 07:43:01;;;;;0;;
2018/06/26 11:04:25;null;;;;;;
2018/06/26 11:04:25;;null;;;;;
2018/06/26 11:04:25;;;null;;;;
2018/06/26 11:04:25;;;;null;;;
2018/06/26 11:04:27;;;;;null;;
2018/06/26 11:04:27;;;;;;null;
2018/06/26 11:08:16;;;;0;0;0;
2018/06/26 11:08:18;0;0;0;;;;
2018/06/26 15:54:59;;;;0;0;0;
2018/06/26 15:54:59;0;0;0;;;;
2018/06/26 16:06:03;0;0;0;;;;
2018/06/26 16:06:07;;;;0;0;0;
2018/06/27 00:00:38;null;null;null;null;null;null;
2018/06/27 00:00:53;0;0;0;;;;
2018/06/27 00:00:54;;;;;0;0;
2018/06/27 00:00:59;;;;0;;;
2018/06/27 13:56:26;;;;;356;;
2018/06/27 13:57:26;;;;;0;;
2018/06/27 14:19:35;;;;;;356;
2018/06/27 14:20:45;;;;;;0;
2018/06/27 15:06:33;;;;;356;;
2018/06/27 15:06:38;;;;;338;;
2018/06/27 15:07:38;;;;;0;;
2018/06/27 15:09:28;;;;;;356;
2018/06/27 15:10:34;;;;;;0;
2018/06/27 15:15:19;;;;;356;;
2018/06/27 15:16:20;;;;;0;;
2018/06/28 00:00:38;null;null;null;null;null;null;
2018/06/28 00:00:59;;;;0;0;0;
2018/06/28 00:00:59;0;;0;;;;
2018/06/28 00:01:04;;0;;;;;
2018/06/28 00:45:08;;;;;275;;
2018/06/28 01:11:53;;;;;0;;
2018/06/28 13:48:37;;;275;;;;
2018/06/28 14:15:07;;;0;;;;
2018/06/29 00:00:46;null;null;null;null;null;null;
2018/06/29 00:01:06;;;;0;0;0;
2018/06/29 00:01:06;0;0;0;;;;
2018/06/29 07:01:57;;;;null;;;
2018/06/29 07:37:29;;;;900;;;
2018/06/29 07:41:44;;;;;null;;
2018/06/29 07:56:37;;;;0;;;
2018/06/29 07:58:22;;;;;900;;
2018/06/29 07:58:37;;;;;0;;
2018/06/29 08:02:43;;;;;;null;
2018/06/29 08:33:33;;;;;;0;
2018/06/29 09:41:56;;;;276;;;
2018/06/29 10:08:31;;;;0;;;
2018/06/29 14:32:40;0;;;;;;
2018/06/29 14:32:40;;0;0;0;0;0;
2018/06/29 22:27:44;275;;;;;;
2018/06/29 22:54:59;0;;;;;;
2018/06/30 00:00:37;null;null;null;null;null;null;
2018/06/30 00:00:55;0;0;0;;;;
2018/06/30 00:00:59;;;;0;0;0;
2018/06/30 18:58:50;;;275;;;;
2018/06/30 19:25:44;;;0;;;;
2018/06/30 19:39:31;;;;;275;;
2018/06/30 20:06:16;;;;;0;;
2018/06/30 20:09:27;275;;;;;;
2018/06/30 20:36:37;0;;;;;;
2018/07/01 00:00:37;null;null;null;null;null;null;
2018/07/01 00:00:53;;;;0;0;0;
2018/07/01 00:00:54;0;0;0;;;;
2018/07/02 00:00:37;null;null;null;null;null;null;
2018/07/02 00:00:55;;;;0;0;0;
2018/07/02 00:00:56;0;0;0;;;;
2018/07/03 00:00:37;null;null;null;null;null;null;
2018/07/03 00:00:56;0;0;0;;;;
2018/07/03 00:00:56;;;;0;0;0;
2018/07/03 07:19:48;;;;;;null;
2018/07/03 14:32:32;;;;;;0;
2018/07/03 16:47:57;;;;0;;;
2018/07/03 16:47:57;0;0;0;;0;;
2018/07/03 16:48:07;;;;;;0;
2018/07/03 18:33:07;null;null;null;null;null;null;
2018/07/03 18:35:14;0;0;0;;;;
2018/07/03 18:35:14;;;;0;0;;
2018/07/03 18:35:14;;;;;;0;
2018/07/04 00:00:37;null;null;null;null;null;null;
2018/07/04 00:00:55;0;0;0;;;;
2018/07/04 00:00:55;;;;0;0;0;
2018/07/04 12:57:11;;;null;;;;
2018/07/04 13:18:39;;;900;;;;
2018/07/04 13:20:50;;null;;;;;
2018/07/04 13:21:55;;;0;;;;
2018/07/04 13:37:38;;0;;;;;
2018/07/04 13:39:53;null;;;;;;
2018/07/04 13:56:36;0;;;;;;
2018/07/04 14:27:29;;;;0;0;0;
2018/07/04 14:27:41;;;0;;;;
2018/07/04 14:27:41;0;0;;;;;
2018/07/04 14:48:59;0;0;;;;;
2018/07/04 14:48:59;;;0;;;;
2018/07/04 14:49:06;;;;0;0;0;
2018/07/04 14:56:49;0;0;0;;;;
2018/07/04 14:56:49;;;;0;0;0;
2018/07/05 00:00:37;null;null;null;null;null;null;
2018/07/05 00:00:58;0;0;0;;;;
2018/07/05 00:00:58;;;;0;0;0;
2018/07/05 07:16:36;;;;;null;;
2018/07/05 13:46:42;0;0;0;;;;
2018/07/05 13:46:48;;;;0;;0;
2018/07/05 14:34:03;;;;;0;;
2018/07/06 00:00:37;null;null;null;null;null;null;
2018/07/06 00:00:56;0;0;0;;;;
2018/07/06 00:00:56;;;;0;0;0;
2018/07/06 15:51:08;null;null;null;null;null;null;
2018/07/06 17:34:14;0;0;0;0;0;;
2018/07/06 17:34:17;;;;;;0;
2018/07/06 20:18:45;;275;;;;;
2018/07/06 20:45:35;;0;;;;;
2018/07/07 00:00:37;null;null;null;null;null;null;
2018/07/07 00:00:53;0;0;0;;;;
