Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica I.L1.CM1.Status.WTG Event;Marsica I.L1.R1.Status.WTG Event;Marsica I.L1.R2.Status.WTG Event;Marsica I.L1.R3.Status.WTG Event;
2018/07/03 16:47:57;0;0;0;0;
2018/07/03 18:33:07;null;null;null;null;
2018/07/03 18:35:09;0;0;;;
2018/07/03 18:35:09;;;0;0;
2018/07/04 00:00:37;null;null;null;null;
2018/07/04 00:00:48;0;0;0;0;
2018/07/04 14:27:29;0;0;0;0;
2018/07/04 14:48:59;0;0;0;0;
2018/07/04 14:56:43;0;0;0;0;
2018/07/05 00:00:37;null;null;null;null;
2018/07/05 00:00:52;0;0;0;0;
2018/07/05 13:46:42;0;0;0;0;
2018/07/06 00:00:37;null;null;null;null;
2018/07/06 00:00:53;0;0;0;0;
2018/07/06 15:51:08;null;null;null;null;
2018/07/06 17:34:14;0;0;0;0;
2018/07/07 00:00:37;;;null;null;
2018/07/07 00:00:37;null;null;;;
2018/07/07 00:00:54;0;0;0;0;
2018/07/07 15:29:33;;182;;;
2018/07/07 15:35:50;;222;;;
2018/07/07 15:53:00;;309;;;
2018/07/07 15:53:30;;224;;;
2018/07/07 15:53:55;;0;;;
2018/07/08 00:00:37;null;null;null;null;
2018/07/08 00:00:49;0;0;0;0;
2018/07/09 00:00:47;null;null;null;null;
2018/07/09 00:01:03;0;0;0;0;
2018/07/10 00:00:47;null;null;null;null;
2018/07/10 00:00:59;0;0;0;0;
2018/07/11 00:00:47;;;null;null;
2018/07/11 00:00:47;null;null;;;
2018/07/11 00:01:00;0;0;0;0;
2018/07/11 18:43:58;0;0;0;0;
2018/07/11 19:27:27;0;0;0;0;
2018/07/11 20:16:03;0;0;0;0;
2018/07/12 00:00:37;null;null;null;null;
2018/07/12 00:00:50;0;0;0;0;
2018/07/12 13:37:24;0;0;0;0;
2018/07/12 16:55:19;315;;;899;
2018/07/12 16:55:24;;315;;315;
2018/07/12 16:55:39;;;null;;
2018/07/12 16:56:19;null;;;;
2018/07/12 16:56:29;;;;null;
2018/07/12 17:37:48;;;222;;
2018/07/12 17:38:23;;223;223;;
2018/07/12 17:38:48;;224;224;;
2018/07/12 17:39:29;;;0;;
2018/07/12 17:39:34;;0;;;
2018/07/12 17:54:17;;;null;;
2018/07/12 17:54:42;;;0;;
2018/07/12 18:23:35;;;null;;
2018/07/12 18:24:00;;;0;;
2018/07/12 18:36:38;;;null;;
2018/07/12 18:36:48;;;0;;
2018/07/12 18:38:23;;;null;;
2018/07/12 18:38:53;;;0;;
2018/07/12 19:05:30;;;;0;
2018/07/12 19:31:26;0;;;;
2018/07/13 00:00:37;null;null;null;null;
2018/07/13 00:00:50;0;0;0;0;
2018/07/13 09:53:16;0;0;0;0;
2018/07/13 09:53:16;null;;;;
2018/07/13 09:53:18;;null;;;
2018/07/13 09:53:18;;;null;;
2018/07/13 09:53:18;;;;null;
2018/07/13 10:08:12;0;0;0;0;
2018/07/14 00:00:47;null;null;null;null;
2018/07/14 00:01:02;0;0;0;0;
2018/07/15 00:00:47;null;;null;null;
2018/07/15 00:00:47;;null;;;
2018/07/15 00:01:01;0;0;0;0;
2018/07/15 21:19:39;;;;275;
2018/07/15 21:47:10;;;;224;
2018/07/15 21:49:41;;;;0;
2018/07/16 00:00:47;null;null;null;null;
2018/07/16 00:01:05;0;0;0;0;
2018/07/17 00:00:37;null;null;null;null;
2018/07/17 00:00:50;0;0;0;0;
2018/07/17 10:50:24;;309;;;
2018/07/17 10:52:13;;224;;;
2018/07/17 10:52:38;;0;;;
2018/07/18 00:00:48;;;null;;
2018/07/18 00:00:48;null;null;;null;
2018/07/18 00:01:01;0;0;0;0;
2018/07/18 12:15:47;275;;;;
2018/07/18 12:43:18;224;;;;
2018/07/18 13:02:43;0;;;;
2018/07/18 14:39:14;;;;275;
2018/07/18 15:06:40;;;;224;
2018/07/18 15:35:34;null;null;null;null;
2018/07/18 16:00:12;;0;0;;
2018/07/18 16:00:15;0;;;;
2018/07/18 16:00:17;;;;224;
2018/07/18 16:09:54;;;;0;
2018/07/19 00:00:38;null;null;null;null;
2018/07/19 00:00:54;0;0;0;0;
2018/07/20 00:00:37;null;null;null;null;
2018/07/20 00:00:49;0;0;0;0;
2018/07/21 00:00:37;null;null;null;null;
2018/07/21 00:00:52;0;0;0;0;
2018/07/21 07:35:47;315;315;;315;
2018/07/21 07:36:12;;;null;;
2018/07/21 07:36:42;null;;;null;
2018/07/21 08:35:44;;;;315;
2018/07/21 08:37:35;;;222;;
2018/07/21 08:38:15;;;223;;
2018/07/21 08:38:35;;;224;;
2018/07/21 08:40:15;;;0;;
2018/07/21 08:45:17;;223;;223;
2018/07/21 08:45:37;;224;;224;
2018/07/21 08:46:22;;0;;;
2018/07/21 08:48:22;;;;0;
2018/07/21 14:50:35;0;;;;
2018/07/22 00:00:38;null;null;null;null;
2018/07/22 00:00:54;0;0;0;0;
2018/07/22 16:30:34;315;899;;;
2018/07/22 16:30:39;;315;;315;
2018/07/22 16:31:04;;;null;;
2018/07/22 16:31:39;;;;null;
2018/07/22 16:31:44;null;;;;
2018/07/22 17:40:13;;null;;;
2018/07/22 19:04:01;;;222;;
2018/07/22 19:04:36;;223;;;
2018/07/22 19:05:01;;224;;;
2018/07/22 19:05:06;;;223;;
2018/07/22 19:05:36;;;224;;
2018/07/22 19:05:56;;0;;;
2018/07/22 19:06:31;;;0;;
2018/07/22 19:12:07;;;null;;
2018/07/22 19:12:17;;;0;;
2018/07/22 19:12:53;;;null;;
2018/07/22 19:13:03;;;0;;
2018/07/22 19:14:13;;;null;;
2018/07/22 19:14:23;;;0;;
2018/07/22 19:15:33;;;null;;
2018/07/22 19:15:43;;;0;;
2018/07/22 19:32:52;;;null;;
2018/07/22 19:33:17;;;0;;
2018/07/23 00:00:47;;null;null;;
2018/07/23 00:01:05;;0;0;;
2018/07/23 07:19:35;;null;null;;
2018/07/23 07:20:04;;0;0;;
2018/07/23 08:19:49;;;;224;
2018/07/23 08:21:35;;;;0;
2018/07/23 08:36:08;0;;;;
2018/07/24 00:00:37;null;null;null;null;
2018/07/24 00:01:08;0;0;0;0;
2018/07/24 16:59:09;0;;;;
2018/07/24 16:59:09;;0;0;0;
2018/07/25 00:00:38;null;null;null;null;
2018/07/25 00:00:53;0;0;0;0;
2018/07/25 15:14:16;0;0;0;0;
2018/07/25 16:24:54;0;0;0;0;
2018/07/26 00:00:37;null;null;null;null;
2018/07/26 00:00:50;0;0;0;0;
2018/07/26 22:32:56;318;;;;
2018/07/26 22:33:56;224;;;;
2018/07/26 22:34:42;0;;;;
2018/07/26 23:11:37;;318;;;
2018/07/26 23:12:38;;224;;;
2018/07/26 23:13:08;;0;;;
2018/07/27 00:00:37;null;null;null;null;
2018/07/27 00:00:50;0;0;0;0;
2018/07/27 22:19:40;null;null;null;null;
2018/07/27 22:20:20;0;0;0;0;
2018/07/28 00:00:37;null;null;null;null;
2018/07/28 00:00:51;0;0;0;0;
2018/07/28 19:12:24;null;null;null;null;
2018/07/28 20:12:26;0;0;0;0;
2018/07/29 00:00:37;null;null;null;null;
2018/07/29 00:00:54;0;0;0;0;
2018/07/30 00:00:47;null;null;null;null;
2018/07/30 00:01:04;0;0;0;0;
2018/07/30 19:41:56;null;null;null;null;
2018/07/30 19:42:25;0;0;0;0;
2018/07/31 00:00:47;null;null;null;null;
2018/07/31 00:01:02;0;0;0;0;
2018/07/31 09:18:16;null;;;;
2018/07/31 10:47:41;0;;;;
2018/07/31 10:50:12;;;;null;
2018/07/31 11:21:04;null;;;;
2018/07/31 11:22:09;;;null;;
2018/07/31 11:22:24;;;0;;
2018/07/31 11:25:55;0;;;;
2018/07/31 11:46:50;;;;0;
2018/07/31 12:02:44;309;309;309;309;
2018/07/31 12:14:47;315;315;;315;
2018/07/31 12:15:03;;;null;;
2018/07/31 12:15:38;null;;;;
2018/07/31 12:15:43;;;;null;
2018/07/31 12:15:48;;null;;;
2018/07/31 12:31:42;;;222;;
2018/07/31 12:32:17;222;;;;
2018/07/31 12:32:22;;900;;222;
2018/07/31 12:32:32;;224;;;
2018/07/31 12:32:42;;0;;;
2018/07/31 12:32:47;309;;;;
2018/07/31 12:32:52;;;;309;
2018/07/31 12:33:02;;;309;;
2018/07/31 12:36:38;;;;224;
2018/07/31 12:36:48;;;;0;
2018/07/31 12:38:28;224;;;;
2018/07/31 12:39:03;0;;;;
2018/07/31 12:39:23;;;224;;
2018/07/31 12:39:33;;;0;;
2018/08/01 00:00:47;null;;null;null;
2018/08/01 00:00:47;;null;;;
2018/08/01 00:01:02;;;0;;
2018/08/01 00:01:02;0;0;;0;
2018/08/02 00:00:38;null;null;null;null;
2018/08/02 00:00:54;0;0;0;0;
2018/08/02 09:26:05;null;null;null;null;
2018/08/02 13:28:17;0;0;0;0;
2018/08/02 19:39:33;null;null;null;null;
2018/08/02 19:45:15;315;;;899;
2018/08/02 19:45:20;;315;;315;
2018/08/02 19:45:45;;;null;;
2018/08/02 19:46:00;null;;;;
2018/08/02 19:46:05;;null;;null;
2018/08/03 08:01:40;0;0;0;0;
2018/08/03 09:10:15;null;null;null;null;
2018/08/03 09:17:53;0;0;0;0;
2018/08/04 00:00:37;null;null;null;null;
2018/08/04 00:00:51;0;0;0;0;
2018/08/04 16:49:18;;;null;;
2018/08/04 16:51:28;;;222;;
2018/08/04 16:52:03;;;223;;
2018/08/04 16:52:28;;;224;;
2018/08/04 16:53:08;;;0;;
2018/08/04 17:46:33;;202;;;
2018/08/04 17:46:38;315;315;;315;
2018/08/04 17:47:03;;;null;;
2018/08/04 17:47:23;;null;;null;
2018/08/04 17:47:48;null;;;;
2018/08/04 20:03:33;;;222;;
2018/08/04 20:03:53;;;;222;
2018/08/04 20:04:03;;222;;;
2018/08/04 20:04:08;222;;;;
2018/08/04 20:04:28;;900;;;
2018/08/04 20:04:43;223;;;;
2018/08/04 20:04:48;;;;223;
2018/08/04 20:04:53;;;223;;
2018/08/04 20:05:08;224;;;;
2018/08/04 20:05:13;;224;;224;
2018/08/04 20:05:23;;0;224;;
2018/08/04 20:06:34;;;;0;
2018/08/04 20:07:34;;;0;;
2018/08/04 20:09:00;;;;900;
2018/08/04 20:09:05;;;;224;
2018/08/04 20:12:40;0;;;;
2018/08/04 20:13:56;;;;0;
2018/08/05 00:00:47;null;null;null;null;
2018/08/05 00:01:02;0;0;0;0;
2018/08/06 00:00:36;null;null;null;null;
2018/08/06 00:00:55;0;0;0;0;
