Date start:2018/06/22;Date stop:2021/03/10
Device;Date start;Date stop;Duration;Duration (sec);Error code;Description;Nature;Cause;Energy loss(kWh);Modified by
 Abruzzo;;;="4926:22:26";17734946;;;;;2645229,23;;
 SSE Collarmele;;;="4926:22:26";17734946;;;;;2645229,23;;
 WTE2;;;="4926:22:26";17734946;;;;;2645229,23;;
 WTG1;;;="675:19:33";2431173;;;;;359751,51;;
 101; 2018/07/17 00:18:52; 2018/07/17 00:48:04;="00:29:12";1752;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;1,09;GIAN_SOFI;
 168; 2018/07/25 15:46:02; 2018/07/25 15:51:08;="00:05:06";306;309;[309] - Pause over RCS;Other;DEV_O;110,75;CAPU_GIOV;
 169; 2018/07/26 23:34:21; 2018/07/27 00:06:09;="00:31:48";1908;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;15,61;CAPU_GIOV;
 246; 2018/07/30 21:11:03; 2018/07/30 21:38:15;="00:27:12";1632;275;[275] - Start auto-outyawing CW;Yaw_system;OTH;20,49;MITO_MICH;
 323; 2018/08/15 15:39:50; 2018/08/15 18:09:20;="02:29:30";8970;30;[30] - Internal sublogic error;Other;DEV_UN;4253,37;;
 324; 2018/08/16 13:23:14; 2018/08/16 14:57:26;="01:34:12";5652;102;[102] - Emergency circuit open;Electrical;DEV_UN;2781,75;ANDR_FANT;
 357; 2018/08/20 13:23:30; 2018/08/20 14:59:48;="01:36:18";5778;899;[899] - Grid volt above stop lim;Electrical;GRID;369,19;;
 456; 2018/09/09 13:18:31; 2018/09/09 13:45:37;="00:27:06";1626;276;[276] - Start auto-outyawing CCW;Yaw_system;ENV;5,43;;
 575; 2018/09/15 17:12:40; 2018/09/15 17:44:10;="00:31:30";1890;275;[275] - Start auto-outyawing CW;Yaw_system;ENV;53,39;;
 615; 2018/09/19 07:22:59; 2018/09/19 15:01:29;="07:38:30";27510;-1;Unknown error;Other;DEV_SC;0,00;GIAN_SOFI;
 651; 2018/09/24 18:48:37; 2018/09/24 19:48:37;="01:00:00";3600;30;[30] - Internal sublogic error;Other;DEV_UN;1991,61;;
 652; 2018/09/24 22:21:25; 2018/09/24 23:52:55;="01:31:30";5490;102;[102] - Emergency circuit open;Electrical;DEV_UN;3048,36;GIAN_SOFI;
 653; 2018/09/25 02:49:37; 2018/09/25 07:36:25;="04:46:48";17208;312;[312] - Thermo error: ventilators T53;Temperature;DEV_UN;9224,82;;
 730; 2018/09/25 15:21:43; 2018/09/25 16:00:55;="00:39:12";2352;37;[37] - No communication with VCPM;Other;DEV_UN;1306,67;GIAN_SOFI;
 759; 2018/09/26 19:47:07; 2018/09/26 19:59:43;="00:12:36";756;312;[312] - Thermo error: ventilators T53;Temperature;DEV_UN;416,22;;
 760; 2018/09/26 20:01:01; 2018/09/26 22:56:49;="02:55:48";10548;102;[102] - Emergency circuit open;Electrical;DEV_UN;5846,29;GIAN_SOFI;
 761; 2018/09/27 02:23:01; 2018/09/27 02:35:37;="00:12:36";756;312;[312] - Thermo error: ventilators T53;Temperature;DEV_UN;419,08;GIAN_SOFI;
 762; 2018/09/27 02:40:37; 2018/09/27 02:53:25;="00:12:48";768;312;[312] - Thermo error: ventilators T53;Temperature;DEV_UN;425,40;GIAN_SOFI;
 763; 2018/09/27 02:58:13; 2018/09/27 03:11:01;="00:12:48";768;312;[312] - Thermo error: ventilators T53;Temperature;DEV_UN;425,18;GIAN_SOFI;
 764; 2018/09/27 03:15:49; 2018/09/27 08:10:19;="04:54:30";17670;312;[312] - Thermo error: ventilators T53;Temperature;DEV_UN;9200,39;GIAN_SOFI;
