Date start:01/01/2019;Date stop:30/06/2019
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2019/01/01 00:00:47;;null;null;null;null;null;null;null;null;null;null;null;null;null;
2019/01/01 00:00:47;null;;;;;;;;;;;;;;
2019/01/01 00:00:57;;0;;;;;892;0;;;;;;;
2019/01/01 00:00:59;;;;;;;;;;;;0;0;0;
2019/01/01 00:01:00;;;;;;;;;0;0;0;;;;
2019/01/01 00:01:00;;;;;0;0;;;;;;;;;
2019/01/01 00:01:01;;;0;0;;;;;;;;;;;
2019/01/01 00:01:02;0;;;;;;;;;;;;;;
2019/01/01 00:21:09;;;;;;;891;;;;;;;;
2019/01/01 00:21:19;;;;;;;224;;;;;;;;
2019/01/01 00:22:55;;;;;;;0;;;;;;;;
2019/01/01 01:37:25;;;;;;;891;;;;;;;;
2019/01/01 02:07:30;;;;;;;0;;;;;;;;
2019/01/01 02:10:51;;;;;;;891;;;;;;;;
2019/01/01 02:41:07;;;;;;;0;;;;;;;;
2019/01/01 02:41:43;;;;;;;892;;;;;;;;
2019/01/01 02:45:49;;;;;;;891;;;;;;;;
2019/01/01 02:46:04;;;;;;;224;;;;;;;;
2019/01/01 02:47:25;;;;;;;0;;;;;;;;
2019/01/01 03:22:22;;;;;;;;891;;;;;;;
2019/01/01 03:32:40;;;;;;;891;;;;;;;;
2019/01/01 03:52:32;;;;;;;;0;;;;;;;
2019/01/01 04:02:55;;;;;;;0;;;;;;;;
2019/01/01 04:18:15;;;;;;;891;;;;;;;;
2019/01/01 04:35:17;;;;;;;;891;;;;;;;
2019/01/01 04:48:22;;;;;;;224;;;;;;;;
2019/01/01 04:49:02;;;;;;;0;;;;;;;;
2019/01/01 04:53:56;;;;;891;;;;;;;;;;
2019/01/01 04:57:35;;;;;;;892;;;;;;;;
2019/01/01 05:05:18;;;;;;;;224;;;;;;;
2019/01/01 05:05:53;;;;;;;;0;;;;;;;
2019/01/01 05:06:38;;;;;;;;318;;;;;;;
