Date start:01/01/2019;Date stop:30/06/2019
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2019/01/01 00:00:47;null;null;null;null;null;null;
2019/01/01 00:01:04;0;0;0;;;;
2019/01/01 00:01:05;;;;0;0;0;
2019/01/01 00:19:05;;;;;356;;
2019/01/01 00:20:00;;;;;0;;
2019/01/01 00:33:53;;;;;356;;
2019/01/01 00:34:53;;;;;0;;
2019/01/01 01:09:20;;;;;356;;
2019/01/01 01:10:21;;;;;0;;
2019/01/01 01:12:41;;;;;356;;
2019/01/01 01:13:46;;;;;100;;
2019/01/01 01:51:38;;;;;0;;
2019/01/01 02:10:28;;;;;;156;
2019/01/01 02:46:31;;;;;;0;
2019/01/01 02:55:33;;;;;356;;
2019/01/01 02:56:33;;;;;0;;
2019/01/01 03:09:12;;;;;356;;
2019/01/01 03:10:08;;;;;0;;
2019/01/01 03:15:19;;;;;356;;
2019/01/01 03:16:19;;;;;0;;
2019/01/01 03:22:05;;;;;356;;
2019/01/01 03:23:05;;;;;100;;
2019/01/01 03:24:26;;;;;180;;
2019/01/01 05:29:33;;;;;0;;
2019/01/01 05:34:24;;;;;356;;
2019/01/01 05:35:19;;;;;0;;
2019/01/01 05:37:09;;;;;356;;
2019/01/01 05:37:55;;;;;0;;
2019/01/01 05:55:33;;;;;356;;
2019/01/01 05:56:33;;;;;84;;
2019/01/01 05:56:43;;;;;0;;
2019/01/01 05:57:44;;;;;338;;
2019/01/01 05:58:49;;;;;0;;
2019/01/01 06:01:25;;;;;356;;
2019/01/01 06:02:20;;;;;0;;
2019/01/01 06:11:17;;;;;356;;
2019/01/01 06:12:17;;;;;100;;
2019/01/01 06:22:59;;;;;0;;
2019/01/01 06:27:45;;;;;180;;
2019/01/01 06:28:36;;;;;0;;
2019/01/01 06:38:38;;;;;356;;
2019/01/01 06:39:38;;;;;0;;
2019/01/01 06:43:04;;;;;356;;
2019/01/01 06:44:09;;;;;100;;
2019/01/01 06:52:46;;;;;0;;
2019/01/01 06:59:33;;;;;356;;
2019/01/01 07:00:33;;;;;0;;
2019/01/01 07:02:28;;;;;356;;
2019/01/01 07:03:29;;;;;0;;
2019/01/01 07:11:38;;;356;;;;
2019/01/01 07:12:33;;;0;;;;
2019/01/01 07:21:48;;;;;356;;
2019/01/01 07:21:53;;;;;338;;
2019/01/01 07:22:48;;;;;100;;
2019/01/01 07:29:45;;;;;;356;
2019/01/01 07:30:45;;;;;;0;
2019/01/01 09:26:05;;;;;0;;
2019/01/01 10:13:41;;;;;180;;
2019/01/01 11:11:25;;;;;0;;
2019/01/01 11:55:09;;;;;356;;
2019/01/01 11:56:05;;;;;0;;
2019/01/01 12:00:21;;;;;180;;
2019/01/01 12:29:12;;;;;0;;
2019/01/01 15:27:53;;275;;;;;
2019/01/01 15:54:59;;0;;;;;
2019/01/01 15:57:20;;;;;180;;
2019/01/01 16:01:18;;;;;0;;
2019/01/02 00:00:47;null;null;null;null;null;null;
2019/01/02 00:01:11;0;0;0;;;;
2019/01/02 00:01:12;;;;0;0;0;
2019/01/02 10:07:56;;;;;null;;
2019/01/02 21:16:04;;;;;;338;
2019/01/02 21:17:04;;;;;;0;
