Access Point, Wind Power Plant, Folder Name, Tension Line, Turbine Name, Tipo Dato Turbina
SCOLME,MARS2,WPP,L1,V1,DMAV
SCOLME,MARS2,WPP,L1,V2,DMAV
SCOLME,MARS2,WPP,L2,CM2,DMAV
SCOLME,MARS2,WPP,L2,CM3,DMAV
SCOLME,MARS2,WPP,L3,G1,DMAV
SCOLME,MARS2,WPP,L3,G2,DMAV
SCOLME,MARS2,WPP,L4,MC1,DMAV
SCOLME,MARS2,WPP,L4,MC2,DMAV
SCOLME,MARS2,WPP,L5,A1,DMAV
SCOLME,MARS2,WPP,L5,A4,DMAV
SCOLME,MARS2,WPP,L5,A6,DMAV
SCOLME,MARS2,WPP,L6,A2,DMAV
SCOLME,MARS2,WPP,L6,A3,DMAV
SCOLME,MARS2,WPP,L6,A5,DMAV
SCOLME,PESCI,WPP,L1,WTG4,DMAV
SCOLME,PESCI,WPP,L1,WTG5,DMAV
SCOLME,PESCI,WPP,L1,WTG6,DMAV
SCOLME,PESCI,WPP,L1,WTG8,DMAV
SCOLME,PESCI,WPP,L2,WTG10,DMAV
SCOLME,PESCI,WPP,L2,WTG11,DMAV
SCOLME,PESCI,WPP,L2,WTG7,DMAV
SCOLME,PESCI,WPP,L2,WTG9,DMAV
SCOLME,WTE2,WPP,L1,WTG1,DMAV
SCOLME,WTE2,WPP,L1,WTG2,DMAV
SCOLME,WTE2,WPP,L1,WTG3,DMAV
SCOLME,WTE2,WPP,L2,WTG12,DMAV
SCOLME,WTE2,WPP,L2,WTG13,DMAV
SCOLME,WTE2,WPP,L2,WTG14,DMAV
SMARS1,MARS1,WPP,L1,CM1,DMAV
SMARS1,MARS1,WPP,L1,R1,DMAV
SMARS1,MARS1,WPP,L1,R2,DMAV
SMARS1,MARS1,WPP,L1,R3,DMAV
