id,id_turbine,date,date_finish,is_normal_maintenance
1,7,2018/12/20 11:00:00,2018/12/20 13:30:00,1
2,32,2019/01/06 13:45:00,2019/01/10 18:00:00,0
3,17,2019/01/05 11:00:00,2019/01/05 11:30:00,0
4,22,2019/01/05 12:30:00,2019/01/12 18:30:00,0
5,27,2019/01/02 10:00:00,2019/01/07 09:30:00,0
6,29,2018/06/27 08:00:00,2018/06/27 10:30:00,0
7,18,2018/06/28 07:00:00,2018/06/28 10:00:00,0
8,29,2018/09/20 07:00:00,2018/09/20 14:45:00,1
9,3,2018/09/21 07:00:00,2018/09/21 14:45:00,1
10,15,2018/09/26 07:45:00,2018/09/26 08:45:00,0
11,16,2018/09/26 08:45:00,2018/09/26 09:45:00,0
12,18,2018/09/26 09:45:00,2018/09/26 10:45:00,0
13,27,2018/10/04 07:15:00,2018/10/04 14:00:00,0
14,15,2018/11/14 07:00:00,2018/11/14 14:45:00,1
15,16,2018/11/15 07:00:00,2018/11/22 15:45:00,1
16,27,2018/10/23 15:30:00,2018/10/23 18:00:00,0
17,8,2018/12/06 07:00:00,2018/12/06 14:15:00,1
18,2,2018/12/07 07:00:00,2018/12/07 13:45:00,1
19,16,2018/11/15 07:00:00,2018/11/22 15:45:00,1
20,17,2018/11/23 07:00:00,2018/11/23 13:45:00,1
21,18,2018/12/05 09:30:00,2018/12/05 15:45:00,1
22,15,2019/12/29 14:40:00,2019/12/29 15:10:00,0
23,16,2019/12/29 14:10:00,2019/12/29 14:40:00,0
24,22,2020/01/09 15:00:00,2020/01/09 17:00:00,0
25,27,2020/01/06 17:45:00,2020/01/07 16:15:00,0
26,9,2019/02/05 08:15:00,2019/02/05 09:15:00,0
27,16,2019/02/05 07:00:00,2019/02/05 08:00:00,0
28,27,2019/02/06 07:00:00,2019/02/08 15:00:00,0
29,1,2019/03/04 07:30:00,2019/03/05 15:15:00,1
30,23,2019/02/24 18:30:00,2019/03/01 17:30:00,0
31,15,2019/02/26 16:00:00,2019/02/27 12:30:00,0
32,16,2019/02/24 17:00:00,2019/02/24 17:45:00,0
33,18,2019/02/24 16:15:00,2019/02/24 17:00:00,0
34,22,2019/02/26 11:00:00,2019/02/26 15:15:00,0
35,19,2019/02/24 15:30:00,2019/03/01 14:30:00,0
36,20,2019/02/26 09:30:00,2019/02/26 14:30:00,0
37,27,2019/02/24 14:30:00,2019/03/02 13:00:00,0
38,28,2019/02/24 13:30:00,2019/02/24 14:30:00,0
39,28,2019/02/26 13:30:00,2019/02/26 15:30:00,0
40,15,2019/04/15 13:30:00,2019/04/15 15:30:00,0
41,16,2019/04/15 14:00:00,2019/04/15 14:30:00,0
42,27,2019/03/21 18:00:00,2019/03/22 18:00:00,0
43,27,2019/03/30 07:20:00,2019/03/30 08:20:00,0
44,31,2019/12/11 08:45:00,2019/12/13 16:15:00,0
45,16,2019/12/11 07:30:00,2019/12/11 11:00:00,0
46,17,2021/01/14 07:30:00,2021/01/14 09:45:00,0
47,10,2020/02/06 16:00:00,2020/02/10 09:15:00,0
48,24,2020/02/06 17:30:00,2020/02/13 18:15:00,0
49,16,2020/02/07 07:30:00,2020/02/07 09:00:00,0
50,18,2020/02/06 17:10:00,2020/02/06 18:50:00,0
51,27,2020/02/07 09:00:00,2020/02/07 11:45:00,0
52,25,2020/02/26 07:30:00,2020/03/13 20:00:00,0
53,27,2020/02/24 07:40:00,2020/02/26 12:45:00,0
54,24,2020/03/24 07:50:00,2020/03/24 15:45:00,0
55,15,2020/04/16 09:15:00,2020/04/16 15:45:00,0
