id,access_point,wind_power_plant,folder_name,tension_line,turbine_name,have_torquer,id,id_turbine,date,date_finish,is_normal_maintenance
3,SCOLME,MARS2,WPP,L2,CM2,0,9,3,2018/09/21 07:00:00,2018/09/21 14:45:00,1
9,SCOLME,MARS2,WPP,L5,A1,0,26,9,2019/02/05 08:15:00,2019/02/05 09:15:00,0
20,SCOLME,PESCI,WPP,L2,WTG11,0,36,20,2019/02/26 09:30:00,2019/02/26 14:30:00,0
28,SCOLME,WTE2,WPP,L2,WTG14,0,38,28,2019/02/24 13:30:00,2019/02/24 14:30:00,0
28,SCOLME,WTE2,WPP,L2,WTG14,0,39,28,2019/02/26 13:30:00,2019/02/26 15:30:00,0
24,SCOLME,WTE2,WPP,L1,WTG2,0,48,24,2020/02/06 17:30:00,2020/02/13 18:15:00,0
25,SCOLME,WTE2,WPP,L1,WTG3,0,52,25,2020/02/26 07:30:00,2020/03/13 20:00:00,0
24,SCOLME,WTE2,WPP,L1,WTG2,0,54,24,2020/03/24 07:50:00,2020/03/24 15:45:00,0
28,SCOLME,WTE2,WPP,L2,WTG14,0,56,28,2020/04/05 17:15:00,2020/04/06 16:10:00,0
9,SCOLME,MARS2,WPP,L5,A1,0,83,9,2019/02/07 07:30:00,2019/02/07 15:00:00,0
24,SCOLME,WTE2,WPP,L1,WTG2,0,87,24,2020/01/23 07:30:00,2020/01/23 09:30:00,0
13,SCOLME,MARS2,WPP,L6,A3,0,88,13,2019/07/12 13:45:00,2019/07/12 14:05:00,0
28,SCOLME,WTE2,WPP,L2,WTG14,0,91,28,2020/04/27 08:25:00,2020/04/27 14:30:00,0
20,SCOLME,PESCI,WPP,L2,WTG11,0,94,20,2019/03/02 13:00:00,2019/03/03 09:00:00,0
